AndroRAT|AndroRAT|Remote_Administration_Toolkit|https://github.com/The404Hacking/AndroRAT|git|java,git|
serpentine|serpentine|Remote_Administration_Toolkit|https://github.com/jafarlihi/serpentine|git|c++,java|
n00bRAT|n00bRAT|Remote_Administration_Toolkit|https://github.com/abhishekkr/n00bRAT|git|git,make|
CHAOS|CHAOS|Remote_Administration_Toolkit|https://github.com/tiagorlampert/CHAOS|git|go,nodejs
MrAToolbox|MrAToolbox|Remote_Administration_Toolkit|https://github.com/wasserja/MrAToolbox|git|powershell
Stitch|Stitch|Remote_Administration_Toolkit|https://github.com/nathanlopez/Stitch|git|python,c++
